 ,Mean,X,Y,,Bin Center,# values
195,107.667,1017.5,962.5,,,
196,14,913.5,976.5,,,
197,82,981.5,976.5,,,
198,113,1012.5,983.5,,,
199,107,531.5,984.5,,,
200,48,946.5,984.5,,,
201,97,995.5,991.5,,,
202,32,930.5,993.5,,,
203,52,950.5,993.5,,,
204,25.667,922.5,1000.5,,,
205,47.222,942.5,1008.5,,,
206,74,566.5,1012.5,,,
207,37.667,604.5,1018.5,,,
208,42.222,932.5,1019.5,,,
209,18.333,905.5,1020.5,,,
